,scatter energy,scatter locations,absorption energies,absorption locations
23,0.391078,"[-64.6926, -121.465, 999.497]",0.264372,[  0 -10 100]
24,0.348711,"[-4.05186, -91.6425, 1018.67]",0.304751,[  0 -10 100]
25,0.333929,"[36.9831, -148.144, 958.01]",0.32633,[-10   0 100]
26,0.19861,"[312.519, -93.832, 263.927]",0.465357,[ 10   0 100]
27,0.415845,"[52.565, -147.369, 1017.38]",0.252511,[-10   0 100]
28,0.356892,"[32.8973, -111.882, 960.29]",0.31455,[ 10   0 100]
29,0.463069,"[224.924, -127.418, 211.151]",0.199139,[-16.2  -8.1  20. ]
30,0.446526,"[271.193, -186.781, 168.03]",0.2074,[-16.2  -8.1  20. ]
31,0.441451,"[-288.406, 91.7145, 225.635]",0.218768,[16.2 -8.1 20. ]
32,0.430251,"[-64.9804, -118.307, 1005.67]",0.234485,[  0 -10 100]
33,0.332221,"[-45.8327, -161.835, 959.809]",0.328904,[  0 -10 100]
34,0.308134,"[-0.336125, 193.929, 970.162]",0.353803,[  0  10 100]
35,0.194915,"[317.892, 188.203, 253.907]",0.468912,[ 10   0 100]
36,0.379747,"[56.467, 129.608, 969.408]",0.273388,[  0  10 100]
37,0.295309,"[2.19518, -225.076, 952.637]",0.369772,[-10   0 100]
38,0.412665,"[68.4899, -125.24, 998.511]",0.255674,[ 10   0 100]
39,0.42172,"[317.597, 95.6314, 187.922]",0.242796,[-16.2  -8.1  20. ]
40,0.430064,"[264.632, -190.934, 223.814]",0.228332,[-16.2  -8.1  20. ]
41,0.294388,"[3.05841, 117.601, 955.054]",0.375034,[  0  10 100]
42,0.394723,"[-21.171, 118.395, 988.841]",0.264365,[  0  10 100]
43,0.33745,"[-107.854, -47.8569, 950.555]",0.317537,[ 10   0 100]
44,0.420906,"[-256.987, 100.131, 213.914]",0.240789,[16.2 -8.1 20. ]
45,0.420832,"[38.3362, 103.97, 952.839]",0.234781,[  0  10 100]
46,0.321877,"[3.05491, -188.43, 980.767]",0.341687,[-10   0 100]
47,0.404546,"[-7.07192, -78.6391, 975.315]",0.257472,[  0 -10 100]
48,0.180384,"[-43.233, -199.429, 954.458]",0.491439,[-10   0 100]
49,0.378109,"[-37.3031, 104.601, 983.405]",0.278053,[  0 -10 100]
50,0.364154,"[57.1617, -134.43, 971.148]",0.293495,[ 10   0 100]
51,0.427264,"[56.3036, 117.293, 1045.09]",0.236583,[-10   0 100]
52,0.46606,"[225.991, -155.842, 223.521]",0.188191,[16.2 -8.1 20. ]
53,0.282829,"[-285.777, 148.228, 279.842]",0.382286,[  0 -10 100]
54,0.352256,"[56.1339, -134.442, 1034.31]",0.317813,[ 10   0 100]
55,0.434344,"[231.82, -185.999, 210.042]",0.222113,[-16.2  -8.1  20. ]
56,0.162721,"[-278.386, 113.224, 247.019]",0.508295,[  0 -10 100]
57,0.418131,"[-110.212, 56.836, 953.568]",0.23538,[ 10   0 100]
58,0.45231,"[230.862, -110.68, 206.81]",0.210286,[-16.2  -8.1  20. ]
59,0.361008,"[20.2719, -88.2282, 961.875]",0.300992,[-10   0 100]
60,0.419831,"[261.868, 116.55, 238.308]",0.244967,[-16.2  -8.1  20. ]
61,0.365034,"[49.7601, -111.039, 962.462]",0.297008,[ 10   0 100]
62,0.333446,"[-12.8747, -83.7287, 993.723]",0.336695,[ 10   0 100]
63,0.462732,"[-349.809, 100.671, 181.088]",0.204717,[16.2 -8.1 20. ]
64,0.430307,"[-333.402, 139.893, 140.926]",0.236554,[16.2 -8.1 20. ]
65,0.230709,"[9.03129, -193.488, 960.466]",0.430945,[-10   0 100]
66,0.353633,"[50.4914, 101.139, 990.471]",0.310866,[ 10   0 100]
67,0.422397,"[3.59971, -78.8488, 988.491]",0.237173,[-10   0 100]
68,0.377183,"[30.2442, 130.041, 961.464]",0.280042,[  0  10 100]
69,0.455028,"[-319.024, 125.885, 121.913]",0.198462,[16.2 -8.1 20. ]
70,0.402965,"[17.2104, -88.8506, 1001.0]",0.26488,[ 10   0 100]
71,0.410768,"[250.613, -119.502, 232.098]",0.245092,[16.2 -8.1 20. ]
72,0.419745,"[287.239, 97.3605, 248.089]",0.240336,[-16.2  -8.1  20. ]
73,0.441649,"[-309.459, 143.191, 145.904]",0.222635,[-16.2   8.1  20. ]
74,0.430935,"[-262.564, 93.107, 220.238]",0.237848,[16.2 -8.1 20. ]
75,0.413007,"[17.0966, 80.6347, 980.573]",0.243879,[  0  10 100]
76,0.337379,"[60.3254, 134.839, 1005.13]",0.319736,[ 10   0 100]
77,0.423706,"[-272.364, 89.3352, 197.335]",0.243648,[-16.2   8.1  20. ]
78,0.352248,"[57.0584, 142.154, 975.827]",0.305199,[  0  10 100]
79,0.403808,"[12.5918, 88.3461, 981.899]",0.265882,[  0  10 100]
80,0.454588,"[297.944, -179.784, 135.295]",0.212738,[-16.2  -8.1  20. ]
81,0.410651,"[-29.1529, 87.08, 1004.07]",0.254001,[-10   0 100]
82,0.330332,"[-18.5409, -81.4622, 1044.88]",0.339025,[  0 -10 100]
83,0.203698,"[-2.62595, -155.102, 968.53]",0.461957,[-10   0 100]
84,0.391031,"[45.8687, -104.015, 1025.99]",0.280264,[-10   0 100]
85,0.311724,"[40.9283, 101.273, 964.08]",0.351659,[ 10   0 100]
86,0.359825,"[-33.8922, -138.445, 975.933]",0.298666,[  0 -10 100]
87,0.167682,"[-20.9284, 136.028, 961.964]",0.499773,[  0  10 100]
88,0.449182,"[-251.774, 111.042, 182.488]",0.219767,[-16.2  -8.1  20. ]
89,0.460863,"[308.531, -82.5782, 234.526]",0.201202,[16.2 -8.1 20. ]
90,0.276851,"[-145.773, 44.8809, 990.467]",0.382286,[  0 -10 100]
91,0.361788,"[-42.5506, -104.978, 991.344]",0.300196,[-10   0 100]
92,0.438348,"[310.084, -144.301, 131.752]",0.227124,[-16.2  -8.1  20. ]
93,0.299276,"[271.776, -210.469, 218.396]",0.354021,[ 10   0 100]
94,0.340181,"[-258.129, 122.967, 226.564]",0.323645,[ 10   0 100]
95,0.373192,"[-30.6263, 102.251, 1026.99]",0.297522,[  0 -10 100]
96,0.356967,"[-82.3277, -0.959337, 979.516]",0.29541,[ 10   0 100]
97,0.414972,"[-20.3805, 83.0238, 1003.56]",0.252069,[  0 -10 100]
98,0.458912,"[315.024, 109.746, 153.336]",0.198538,[-16.2  -8.1  20. ]
99,0.459315,"[278.628, -136.336, 252.353]",0.198439,[-16.2  -8.1  20. ]
100,0.357463,"[56.5736, -129.447, 1026.7]",0.310434,[-10   0 100]
101,0.423503,"[-34.6754, -127.724, 1027.93]",0.237756,[-10   0 100]
102,0.401539,"[-63.8014, -183.024, 1035.67]",0.250855,[-10   0 100]
103,0.315147,"[19.2494, 81.3412, 1017.32]",0.348434,[-10   0 100]
104,0.407274,"[19.0049, -89.981, 1010.06]",0.257974,[-10   0 100]
105,0.442984,"[-319.807, 83.8136, 247.256]",0.211227,[16.2 -8.1 20. ]
106,0.403149,"[-38.8738, -170.286, 981.882]",0.262658,[-10   0 100]
107,0.344047,"[-241.395, 123.099, 221.341]",0.325507,[ 10   0 100]
108,0.367954,"[-17.6032, 88.892, 1039.44]",0.289329,[  0 -10 100]
109,0.286113,"[363.21, -206.45, 190.223]",0.378433,[ 10   0 100]
110,0.369744,"[-20.7113, 102.931, 1001.5]",0.29133,[  0  10 100]
111,0.46308,"[-252.523, 94.6977, 196.057]",0.194483,[16.2  8.1 20. ]
112,0.271424,"[-232.856, 123.006, 208.386]",0.384457,[  0 -10 100]
113,0.348454,"[56.4713, 123.312, 1042.77]",0.304035,[-10   0 100]
114,0.310435,"[-131.344, -59.0604, 980.141]",0.359706,[  0 -10 100]
115,0.281992,"[299.039, 113.545, 260.438]",0.380129,[ 10   0 100]
116,0.453162,"[-262.385, 150.207, 180.102]",0.202674,[-16.2   8.1  20. ]
117,0.400823,"[63.0116, 163.115, 1008.2]",0.2639,[ 10   0 100]
118,0.430488,"[235.648, -140.877, 219.668]",0.233175,[-16.2  -8.1  20. ]
119,0.357019,"[22.0543, -134.204, 969.004]",0.30494,[-10   0 100]
120,0.254821,"[150.702, -20.8845, 963.528]",0.411532,[ 10   0 100]
121,0.357242,"[40.0708, 144.258, 1010.3]",0.307007,[ 10   0 100]
122,0.412453,"[-70.9411, 171.682, 984.75]",0.247165,[  0  10 100]
123,0.432922,"[292.883, 90.046, 159.944]",0.238078,[16.2  8.1 20. ]
124,0.425098,"[-38.0637, -102.386, 981.438]",0.244248,[-10   0 100]
125,0.270245,"[-263.344, 82.4188, 186.799]",0.401081,[  0 -10 100]
126,0.32453,"[-46.9752, -134.5, 1002.76]",0.32976,[  0 -10 100]
127,0.334652,"[27.44, 133.976, 990.209]",0.323021,[ 10   0 100]
128,0.35922,"[-25.1471, -82.7773, 990.576]",0.308126,[-10   0 100]
129,0.247237,"[-19.2396, 161.158, 984.568]",0.422305,[  0  10 100]
130,0.321722,"[-50.2736, 155.655, 971.43]",0.345018,[  0  10 100]
131,0.458508,"[244.383, -200.644, 218.013]",0.198286,[-16.2  -8.1  20. ]
132,0.350746,"[50.5199, 128.507, 973.477]",0.303335,[ 10   0 100]
133,0.356456,"[-83.0127, 2.68067, 986.956]",0.298656,[  0 -10 100]
134,0.337029,"[37.6959, 97.0008, 1008.9]",0.334513,[ 10   0 100]
135,0.352203,"[44.7798, 97.6963, 972.828]",0.308961,[  0  10 100]
136,0.305914,"[-202.844, -34.6726, 967.631]",0.359764,[  0 -10 100]
137,0.443122,"[-306.064, 89.8115, 238.327]",0.226902,[16.2 -8.1 20. ]
138,0.355523,"[-29.8131, -93.6564, 1006.72]",0.302186,[  0 -10 100]
139,0.466317,"[-322.106, 90.0061, 164.848]",0.187267,[16.2 -8.1 20. ]
140,0.339493,"[47.1726, 104.21, 1003.88]",0.313156,[ 10   0 100]
141,0.378843,"[10.0126, -180.426, 1026.51]",0.284046,[ 10   0 100]
142,0.26861,"[-166.849, -39.5951, 986.58]",0.397242,[  0 -10 100]
143,0.435698,"[236.404, 124.083, 216.911]",0.232178,[16.2  8.1 20. ]
144,0.340303,"[46.1929, 96.4192, 971.558]",0.321991,[ 10   0 100]
145,0.467647,"[258.307, -109.297, 208.355]",0.190649,[16.2 -8.1 20. ]
146,0.446226,"[273.024, -92.1656, 161.415]",0.208967,[16.2 -8.1 20. ]
147,0.350446,"[64.3738, 126.042, 999.246]",0.301735,[  0  10 100]
148,0.292572,"[36.0873, -187.766, 965.752]",0.369381,[-10   0 100]
149,0.436485,"[297.794, 85.0403, 227.161]",0.229814,[-16.2  -8.1  20. ]
150,0.33923,"[-68.7619, 166.236, 950.98]",0.330796,[  0 -10 100]
151,0.431016,"[-262.113, 83.0422, 192.311]",0.229731,[-16.2   8.1  20. ]
152,0.231666,"[312.963, 115.59, 180.727]",0.438468,[ 10   0 100]
153,0.293675,"[-148.184, -64.0275, 955.622]",0.368111,[  0 -10 100]
154,0.420917,"[4.3288, -82.0779, 1010.25]",0.24156,[-10   0 100]
155,0.419335,"[355.106, 137.977, 164.605]",0.24357,[-16.2  -8.1  20. ]
156,0.277485,"[9.43101, -215.838, 989.98]",0.386676,[-10   0 100]
157,0.292655,"[-31.3547, -155.957, 963.621]",0.364997,[-10   0 100]
158,0.432426,"[-266.058, 116.038, 178.675]",0.237833,[-16.2   8.1  20. ]
159,0.400864,"[-10.0718, -91.2546, 977.456]",0.266716,[ 10   0 100]
160,0.276212,"[-285.669, 92.3611, 205.781]",0.387622,[ 10   0 100]
161,0.350497,"[-20.5456, 82.6774, 982.471]",0.3068,[  0 -10 100]
162,0.335108,"[-13.1023, 145.422, 960.95]",0.31696,[  0  10 100]
163,0.408832,"[28.2926, -93.5638, 959.936]",0.261325,[-10   0 100]
164,0.436662,"[234.936, -148.62, 211.757]",0.217427,[16.2 -8.1 20. ]
165,0.269396,"[-49.4017, 175.54, 997.209]",0.383727,[  0  10 100]
166,0.407529,"[-72.0196, -150.904, 1029.83]",0.257487,[  0 -10 100]
167,0.17487,"[-29.7294, 170.12, 959.413]",0.486592,[  0  10 100]
168,0.271386,"[97.095, 29.1606, 966.006]",0.382193,[ 10   0 100]
169,0.290223,"[-146.778, 33.9894, 983.793]",0.376026,[  0 -10 100]
170,0.41889,"[219.504, 150.72, 215.322]",0.250281,[-16.2  -8.1  20. ]
171,0.353908,"[-22.8023, 120.244, 970.63]",0.304875,[  0  10 100]
172,0.429913,"[-64.4246, -159.625, 1026.27]",0.236427,[  0 -10 100]
173,0.44883,"[320.088, 88.704, 196.069]",0.218359,[-16.2  -8.1  20. ]
174,0.361486,"[-64.6934, 138.11, 955.395]",0.307566,[  0  10 100]
175,0.291363,"[284.461, -84.3708, 208.972]",0.374065,[ 10   0 100]
176,0.455213,"[-240.636, 126.123, 204.226]",0.19882,[-16.2   8.1  20. ]
177,0.444737,"[235.855, 154.914, 235.185]",0.223823,[16.2 -8.1 20. ]
178,0.361823,"[-37.4065, 92.801, 1010.01]",0.298574,[  0 -10 100]
179,0.331757,"[-93.6581, -5.06719, 1049.77]",0.329824,[ 10   0 100]
180,0.34322,"[37.3211, -97.0754, 1048.59]",0.315029,[-10   0 100]
181,0.385694,"[-110.163, -36.5837, 965.229]",0.277746,[ 10   0 100]
182,0.316859,"[45.3456, 209.116, 1036.04]",0.349117,[  0  10 100]
183,0.407683,"[27.3279, -84.7747, 1037.97]",0.261833,[ 10   0 100]
184,0.197425,"[287.411, 104.269, 254.713]",0.461191,[ 10   0 100]
185,0.450541,"[298.198, 83.7096, 220.918]",0.203075,[-16.2  -8.1  20. ]
186,0.361827,"[37.233, 143.247, 1016.19]",0.295385,[ 10   0 100]
187,0.381952,"[-87.3419, -35.0458, 968.943]",0.276264,[ 10   0 100]
188,0.303692,"[-237.542, 174.989, 211.946]",0.350687,[ 10   0 100]
189,0.343076,"[12.4765, -80.7019, 1020.94]",0.309774,[ 10   0 100]
190,0.329746,"[-47.8386, 97.637, 1014.95]",0.324452,[  0 -10 100]
191,0.308503,"[-31.4638, 163.55, 954.042]",0.344548,[  0  10 100]
192,0.348102,"[-0.953443, 81.0887, 955.329]",0.315891,[ 10   0 100]
193,0.434856,"[297.513, 98.7442, 225.746]",0.236814,[-16.2  -8.1  20. ]
194,0.433868,"[-266.316, 85.5023, 173.673]",0.233754,[-16.2   8.1  20. ]
195,0.47169,"[-90.7188, -21.3812, 950.12]",0.19149,[-16.2  -8.1  20. ]
196,0.407424,"[-67.7762, -124.219, 1004.28]",0.254977,[-10   0 100]
197,0.402634,"[48.4191, 106.017, 992.083]",0.261324,[-10   0 100]
198,0.452977,"[263.097, -138.459, 172.999]",0.201232,[16.2 -8.1 20. ]
199,0.419237,"[-273.382, 87.185, 211.435]",0.243349,[16.2 -8.1 20. ]
200,0.387218,"[-50.6875, 114.185, 1028.8]",0.283735,[  0  10 100]
201,0.374969,"[20.8804, -109.762, 970.029]",0.279253,[ 10   0 100]
202,0.443703,"[286.517, -109.359, 266.471]",0.209252,[16.2 -8.1 20. ]
203,0.423056,"[-50.4144, 101.766, 959.576]",0.231612,[  0  10 100]
204,0.256834,"[26.3537, -133.426, 976.828]",0.402236,[-10   0 100]
205,0.316937,"[35.681, 95.1698, 987.741]",0.345215,[ 10   0 100]
206,0.384391,"[-63.3303, 123.664, 1038.55]",0.270597,[  0 -10 100]
207,0.356356,"[-39.869, 99.701, 956.754]",0.303065,[-10   0 100]
208,0.313538,"[-240.427, 121.419, 225.225]",0.358171,[  0 -10 100]
209,0.431584,"[306.402, -149.814, 131.242]",0.237819,[16.2 -8.1 20. ]
210,0.395384,"[-29.8854, -103.345, 1031.72]",0.267878,[  0 -10 100]
211,0.284854,"[51.8345, -123.008, 968.193]",0.37858,[-10   0 100]
212,0.297293,"[263.863, 135.471, 226.605]",0.363476,[  0 -10 100]
213,0.424827,"[-296.83, 175.128, 162.303]",0.241994,[-16.2   8.1  20. ]
214,0.350228,"[-56.7972, -111.951, 979.831]",0.308379,[-10   0 100]
215,0.272272,"[-21.1439, -137.045, 998.268]",0.380143,[-10   0 100]
216,0.380899,"[-39.8886, -91.0613, 952.174]",0.272708,[-10   0 100]
217,0.275634,"[-264.301, 172.295, 200.09]",0.377064,[  0 -10 100]
218,0.442193,"[236.765, -179.322, 210.609]",0.229558,[16.2 -8.1 20. ]
219,0.452042,"[-291.807, 85.745, 229.367]",0.205854,[16.2  8.1 20. ]
220,0.372431,"[-53.2902, 140.146, 963.848]",0.295968,[  0  10 100]
221,0.269553,"[27.5795, 101.917, 957.153]",0.383298,[  0  10 100]
222,0.383975,"[54.5549, -108.36, 963.249]",0.273165,[ 10   0 100]
223,0.38715,"[-45.9159, 109.336, 973.612]",0.265732,[  0  10 100]
224,0.423571,"[345.24, 123.24, 147.906]",0.245565,[16.2  8.1 20. ]
225,0.317735,"[-22.3905, 86.2345, 1019.12]",0.343942,[  0 -10 100]
226,0.417859,"[-62.3604, -117.139, 961.716]",0.245449,[  0 -10 100]
227,0.187159,"[290.601, 197.316, 242.889]",0.471312,[ 10   0 100]
228,0.333528,"[-33.2851, -101.973, 972.946]",0.333076,[ 10   0 100]
229,0.456771,"[260.939, -91.9025, 208.47]",0.197576,[-16.2  -8.1  20. ]
230,0.297286,"[24.0117, 92.3732, 975.215]",0.35599,[  0  10 100]
231,0.316793,"[-123.349, 52.2026, 1040.2]",0.348244,[ 10   0 100]
232,0.461912,"[292.046, -91.838, 141.547]",0.205754,[16.2 -8.1 20. ]
233,0.387218,"[31.0429, -103.39, 954.353]",0.274015,[-10   0 100]
234,0.318136,"[-27.0029, 116.239, 956.128]",0.342233,[  0  10 100]
235,0.459204,"[296.814, -91.1762, 242.513]",0.212491,[-16.2  -8.1  20. ]
236,0.46441,"[-305.997, 98.2716, 174.202]",0.193662,[-16.2   8.1  20. ]
237,0.341636,"[240.289, 142.483, 231.629]",0.327829,[  0 -10 100]
238,0.362592,"[57.22, 120.697, 993.564]",0.305877,[  0  10 100]
239,0.369001,"[-12.368, -82.9892, 980.48]",0.302335,[-10   0 100]
240,0.432062,"[-311.083, 81.5153, 198.841]",0.232678,[16.2 -8.1 20. ]
241,0.269949,"[-287.689, 82.332, 177.326]",0.396337,[-10   0 100]
242,0.35642,"[69.9839, -132.942, 950.043]",0.311845,[ 10   0 100]
243,0.280721,"[-17.4911, 142.349, 951.605]",0.375063,[  0  10 100]
244,0.401493,"[-72.4072, 150.677, 1038.62]",0.253037,[  0 -10 100]
245,0.455792,"[-294.376, 133.728, 143.603]",0.204223,[-16.2   8.1  20. ]
246,0.370707,"[-37.0636, 110.259, 988.701]",0.285985,[  0  10 100]
247,0.431863,"[-297.252, 94.1564, 217.947]",0.22714,[16.2 -8.1 20. ]
248,0.3916,"[-11.4318, -104.724, 980.807]",0.261137,[-10   0 100]
249,0.328178,"[-63.3374, -137.454, 1045.92]",0.338036,[  0 -10 100]
250,0.420516,"[32.0197, -86.2417, 1034.15]",0.239146,[ 10   0 100]
251,0.28846,"[310.084, 109.354, 266.399]",0.370219,[ 10   0 100]
252,0.342954,"[-85.4236, -14.32, 953.578]",0.320021,[ 10   0 100]
253,0.455649,"[237.407, -108.356, 214.118]",0.213825,[16.2 -8.1 20. ]
254,0.361686,"[-24.7483, 109.223, 959.851]",0.301163,[  0 -10 100]
255,0.188666,"[-306.404, 90.5093, 256.565]",0.478873,[-10   0 100]
256,0.330118,"[-42.3452, 127.37, 1020.61]",0.339198,[  0 -10 100]
257,0.366901,"[-45.6086, 137.272, 978.516]",0.289637,[  0  10 100]
258,0.369803,"[17.8634, 87.942, 1017.77]",0.292897,[ 10   0 100]
259,0.394987,"[59.1715, 116.326, 956.524]",0.275852,[ 10   0 100]
260,0.448147,"[-221.929, 161.14, 215.467]",0.209646,[-16.2   8.1  20. ]
261,0.442332,"[310.649, 99.0667, 243.917]",0.220854,[16.2  8.1 20. ]
262,0.310147,"[-50.3268, 166.584, 965.98]",0.346959,[  0  10 100]
263,0.437713,"[271.865, 95.0651, 227.529]",0.223759,[16.2  8.1 20. ]
264,0.447204,"[326.714, 81.7192, 225.543]",0.223335,[-16.2  -8.1  20. ]
265,0.450288,"[256.399, 94.6019, 210.093]",0.218009,[16.2  8.1 20. ]
266,0.31753,"[33.0026, 135.153, 997.797]",0.340349,[ 10   0 100]
267,0.30407,"[-221.409, 17.2031, 949.63]",0.352949,[  0 -10 100]
268,0.466952,"[-282.652, 190.547, 154.276]",0.202174,[-16.2   8.1  20. ]
269,0.337944,"[-233.807, 125.335, 223.347]",0.32504,[ 10   0 100]
270,0.352157,"[48.1405, 128.127, 985.484]",0.311253,[ 10   0 100]
