,scatter energy,scatter locations,absorption energies,absorption locations
26,0.41,"[-131.448, 35.5999, 831.865]",0.242325,"[-15.0177, 118.575, 956.19]"
27,0.387774,"[-138.057, 10.1609, 914.42]",0.275528,"[-31.1924, 121.054, 825.189]"
28,0.358113,"[14.2387, 109.91, 851.626]",0.307542,"[149.913, 19.7678, 817.98]"
29,0.351321,"[-97.4488, 1.74537, 922.033]",0.313187,"[-22.0125, -113.408, 945.524]"
30,0.425967,"[16.3381, 102.996, 839.642]",0.244679,"[-116.123, 9.30227, 825.179]"
31,0.103742,"[52.0267, -41.9751, 440.812]",0.550015,"[-121.926, 29.7439, 885.935]"
32,0.341059,"[127.096, -24.6578, 905.635]",0.316308,"[-7.85345, 114.629, 946.992]"
33,0.390561,"[-10.4947, -99.2853, 964.456]",0.263659,"[-21.225, 134.755, 964.718]"
34,0.402583,"[-30.4712, 124.769, 919.767]",0.269179,"[-104.5, 22.4992, 861.27]"
35,0.10669,"[-31.979, -45.8004, 461.113]",0.548797,"[132.28, -0.60806, 833.045]"
36,0.0867955,"[-42.8606, -33.7422, 438.015]",0.575441,"[10.0427, 130.805, 830.429]"
37,0.0151432,"[-48.2907, -40.126, 457.657]",0.64752,"[-29.0221, -123.323, 841.57]"
38,0.359429,"[104.365, -19.6995, 872.507]",0.303477,"[15.7806, -121.58, 906.876]"
39,0.116276,"[42.1283, -50.8128, 443.369]",0.539192,"[-145.059, -32.4352, 816.113]"
40,0.338673,"[7.22933, -97.7112, 874.157]",0.316902,"[-128.616, -26.8769, 911.632]"
41,0.425354,"[-49.6188, 37.493, 450.759]",0.241326,"[-44.5551, -49.6086, 440.375]"
42,0.335868,"[-8.34184, 103.764, 921.592]",0.329223,"[148.06, 32.6374, 845.133]"
43,0.345911,"[1.4759, -125.652, 958.399]",0.324583,"[1.22186, 125.381, 939.083]"
44,0.386771,"[29.7819, -114.067, 855.669]",0.280688,"[100.379, -4.82522, 854.653]"
45,0.377043,"[-130.812, 31.0609, 834.696]",0.285712,"[-33.4868, 134.643, 830.955]"
46,0.3194,"[97.9823, 9.84477, 866.323]",0.346203,"[36.5466, -124.762, 818.823]"
47,0.340423,"[-108.7, -14.6873, 908.273]",0.325643,"[10.9849, -110.123, 961.852]"
48,0.107323,"[35.5346, 45.307, 446.018]",0.560918,"[-4.34781, -124.766, 831.91]"
49,0.346677,"[-31.5014, 120.183, 929.96]",0.307867,"[-23.6952, -112.002, 840.9]"
50,0.465352,"[-28.5905, 137.26, 817.745]",0.190781,"[49.9822, -38.8627, 483.581]"
51,0.0863595,"[36.0912, 44.2386, 465.784]",0.584268,"[-0.150387, -103.856, 853.013]"
52,0.374521,"[162.511, 12.0745, 861.219]",0.278755,"[-2.9167, 115.454, 831.842]"
53,0.394446,"[-5.939, 129.563, 853.442]",0.267786,"[117.129, 5.21738, 828.169]"
54,0.419869,"[-31.3985, -123.552, 853.286]",0.244998,"[-113.139, -27.3908, 823.636]"
55,0.375539,"[15.2071, -132.371, 951.937]",0.289929,"[119.568, -2.6165, 858.898]"
56,0.346459,"[11.649, 101.751, 824.094]",0.316348,"[140.74, 26.5586, 944.851]"
57,0.392436,"[-28.0053, -121.142, 828.45]",0.264185,"[-106.842, 14.3856, 814.848]"
58,0.102512,"[-39.4709, -51.318, 482.484]",0.560726,"[134.019, -15.1677, 853.827]"
59,0.406123,"[-0.701618, 102.907, 860.787]",0.251366,"[-130.821, 32.7165, 831.849]"
60,0.332258,"[140.055, -13.4529, 856.455]",0.324452,"[20.5689, -127.515, 919.784]"
61,0.350847,"[21.6561, -133.491, 831.869]",0.303713,"[27.2388, 123.435, 891.456]"
62,0.36986,"[-12.3476, 103.038, 827.307]",0.289512,"[0.0172059, -106.766, 842.164]"
63,0.33951,"[16.0417, 138.048, 928.499]",0.321776,"[98.032, -9.14109, 889.144]"
64,0.359831,"[-109.633, 8.1754, 886.618]",0.310631,"[-7.90416, 98.8852, 838.851]"
65,0.404537,"[13.8794, 123.1, 932.341]",0.256476,"[111.057, -10.4024, 815.212]"
66,0.123115,"[33.9102, -40.4733, 475.494]",0.545304,"[-116.517, 30.0251, 815.197]"
67,0.392411,"[7.56739, 112.835, 826.882]",0.272298,"[101.42, 15.3474, 839.971]"
68,0.331759,"[147.667, -21.2027, 851.401]",0.32171,"[-121.729, -22.4857, 940.866]"
